name,x,y,z
PorterSansBlock.png,-26.141178848073267,-4.8327828876403345,0.7085156759065541
Cutive.png,-31.548311187999136,-20.70744170219973,-27.454901834837422
Mogra.png,9.343308769205969,-2.765065189453722,-36.675910253814884
Capriola.png,-10.98955102379351,-50.0,-9.137134601485855
Damion.png,-7.139288800749789,-2.647645502980737,3.047623227290863
Shanti.png,-21.36833635645922,-47.42812098509874,-12.020949634129813
RopaSans.png,-24.411099533948917,-33.621003993977865,-32.85728735035957
EagleLake.png,-26.09313030956081,-10.750961004585427,-18.98200054161943
RumRaisin.png,-0.6728893908880025,-8.986239804855131,-36.35970468483914
Amaranth.png,-13.830550122898941,-46.47036268730465,-23.27712742938267
Strait.png,-23.587494823192557,-24.40914623868924,-39.09158302735816
